"","qID","cluster.0_support.no","cluster.1_support.no","cluster.0_support.neutral","cluster.0_support.yes","cluster.1_support.yes"
"cluster-0_support-no",1,0,0.51235331515568,0.330381093936686,0.562368277922686,0.25152335379685
"cluster-1_support-no",1,0.51235331515568,0,0.3177506412265,0.194426432939658,0.51320238135724
"cluster-0_support-neutral",1,0.330381093936686,0.3177506412265,0,0.33796606992909,0.317318346092701
"cluster-0_support-yes",1,0.562368277922686,0.194426432939658,0.33796606992909,0,0.486518080266866
"cluster-1_support-yes",1,0.25152335379685,0.51320238135724,0.317318346092701,0.486518080266866,0
"cluster-0_support-no1",2,0,0.600783800314121,0.305441244059501,0.507015010133283,0.204742459615523
"cluster-1_support-no1",2,0.600783800314121,0,0.395496277806925,0.277307582452318,0.664360964710686
"cluster-0_support-neutral1",2,0.305441244059501,0.395496277806925,0,0.375575901804642,0.348483511485253
"cluster-0_support-yes1",2,0.507015010133283,0.277307582452318,0.375575901804642,0,0.61298927566589
"cluster-1_support-yes1",2,0.204742459615523,0.664360964710686,0.348483511485253,0.61298927566589,0
"cluster-0_support-no2",3,0,0.647689681936969,0.336620224771096,0.192029762213608,1.07808800409243
"cluster-1_support-no2",3,0.647689681936969,0,0.405151917112847,0.611165670810904,0.565969895206534
"cluster-0_support-neutral2",3,0.336620224771096,0.405151917112847,0,0.301347974924315,0.82361581801088
"cluster-0_support-yes2",3,0.192029762213608,0.611165670810904,0.301347974924315,0,1.02878433002792
"cluster-1_support-yes2",3,1.07808800409243,0.565969895206534,0.82361581801088,1.02878433002792,0
"cluster-0_support-no3",4,0,0.588221411042941,0.35920195329255,0.179581909736285,0.652182343101683
"cluster-1_support-no3",4,0.588221411042941,0,0.387636649588441,0.628414416352975,0.193509503502356
"cluster-0_support-neutral3",4,0.35920195329255,0.387636649588441,0,0.370897539605723,0.46192987027207
"cluster-0_support-yes3",4,0.179581909736285,0.628414416352975,0.370897539605723,0,0.675199324378862
"cluster-1_support-yes3",4,0.652182343101683,0.193509503502356,0.46192987027207,0.675199324378862,0
"cluster-0_support-no4",5,0,0.477254206380807,0.302522849322213,0.539791647843913,0.263690870934575
"cluster-1_support-no4",5,0.477254206380807,0,0.379328443200541,0.173438825994048,0.437399317061293
"cluster-0_support-neutral4",5,0.302522849322213,0.379328443200541,0,0.415745345733339,0.24812803871998
"cluster-0_support-yes4",5,0.539791647843913,0.173438825994048,0.415745345733339,0,0.501195010014288
"cluster-1_support-yes4",5,0.263690870934575,0.437399317061293,0.24812803871998,0.501195010014288,0
"cluster-0_support-no5",6,0,0.554054362881828,0.359821688173321,0.601783956298144,0.16520860957506
"cluster-1_support-no5",6,0.554054362881828,0,0.449073998151325,0.301232256141496,0.58126823841291
"cluster-0_support-neutral5",6,0.359821688173321,0.449073998151325,0,0.40453451894812,0.323328171002147
"cluster-0_support-yes5",6,0.601783956298144,0.301232256141496,0.40453451894812,0,0.568567441824047
"cluster-1_support-yes5",6,0.16520860957506,0.58126823841291,0.323328171002147,0.568567441824047,0
"cluster-0_support-no6",7,0,0.50542372041579,0.472930590646578,0.564188942577676,0.390476052977931
"cluster-1_support-no6",7,0.50542372041579,0,0.229013568824091,0.255449509716241,0.322434790440274
"cluster-0_support-neutral6",7,0.472930590646578,0.229013568824091,0,0.254054167035686,0.347752536336275
"cluster-0_support-yes6",7,0.564188942577676,0.255449509716241,0.254054167035686,0,0.490752781398554
"cluster-1_support-yes6",7,0.390476052977931,0.322434790440274,0.347752536336275,0.490752781398554,0
"cluster-0_support-no7",8,0,0.424483468532527,0.383322333066772,0.208089526254265,1.04909622788151
"cluster-1_support-no7",8,0.424483468532527,0,0.311311424720696,0.288170685056627,0.890831889714429
"cluster-0_support-neutral7",8,0.383322333066772,0.311311424720696,0,0.271030231073412,0.756897386316847
"cluster-0_support-yes7",8,0.208089526254265,0.288170685056627,0.271030231073412,0,0.962209115659466
"cluster-1_support-yes7",8,1.04909622788151,0.890831889714429,0.756897386316847,0.962209115659466,0
