"","qID","cluster.0_support.no","cluster.1_support.no","cluster.2_support.no","cluster.3_support.no","cluster.0_support.neutral","cluster.0_support.yes","cluster.1_support.yes","cluster.2_support.yes","cluster.3_support.yes"
"cluster-0_support-no",1,0,0.498327631460749,0.615390896080581,0.616795034248022,0.433212219090198,0.644270907572527,0.275592123637057,0.539999202046084,0.613349887555449
"cluster-1_support-no",1,0.498327631460749,0,0.476383144147751,0.753805800541857,0.342359059106455,0.522331728051652,0.507937631981856,0.164332372117114,0.699031167109358
"cluster-2_support-no",1,0.615390896080581,0.476383144147751,0,0.685955477297955,0.414953297109746,0.703175808534642,0.634828532587598,0.469389855962296,0.599383585718211
"cluster-3_support-no",1,0.616795034248022,0.753805800541857,0.685955477297955,0,0.4993490511367,0.826398641834751,0.671936022804927,0.78659130058139,0.319703888212417
"cluster-0_support-neutral",1,0.433212219090198,0.342359059106455,0.414953297109746,0.4993490511367,0,0.525073244263046,0.416247599259945,0.343131476105589,0.43587120262999
"cluster-0_support-yes",1,0.644270907572527,0.522331728051652,0.703175808534642,0.826398641834751,0.525073244263046,0,0.544674049102442,0.484439579309936,0.750372237403531
"cluster-1_support-yes",1,0.275592123637057,0.507937631981856,0.634828532587598,0.671936022804927,0.416247599259945,0.544674049102442,0,0.481456163660037,0.6086735327797
"cluster-2_support-yes",1,0.539999202046084,0.164332372117114,0.469389855962296,0.78659130058139,0.343131476105589,0.484439579309936,0.481456163660037,0,0.693138032330894
"cluster-3_support-yes",1,0.613349887555449,0.699031167109358,0.599383585718211,0.319703888212417,0.43587120262999,0.750372237403531,0.6086735327797,0.693138032330894,0
"cluster-0_support-no1",2,0,0.43683447514398,0.466822396335795,0.649660941603387,0.350384536763767,0.410374133559966,0.653191886505747,0.658587748511483,0.347085122664416
"cluster-1_support-no1",2,0.43683447514398,0,0.414207725724089,0.754608264000022,0.501568232161887,0.656530178299829,0.736026215101758,0.788085906047989,0.249876557188799
"cluster-2_support-no1",2,0.466822396335795,0.414207725724089,0,0.706842706446129,0.434689625183547,0.608164948503939,0.793614116427347,0.697232059664841,0.385982874269086
"cluster-3_support-no1",2,0.649660941603387,0.754608264000022,0.706842706446129,0,0.396382078144487,0.41726938997502,0.331164409374203,0.301219941928185,0.69946472109958
"cluster-0_support-neutral1",2,0.350384536763767,0.501568232161887,0.434689625183547,0.396382078144487,0,0.273499758334226,0.491278043400675,0.415708426726599,0.426283683306514
"cluster-0_support-yes1",2,0.410374133559966,0.656530178299829,0.608164948503939,0.41726938997502,0.273499758334226,0,0.507399693214044,0.43204297518842,0.606530566473194
"cluster-1_support-yes1",2,0.653191886505747,0.736026215101758,0.793614116427347,0.331164409374203,0.491278043400675,0.507399693214044,0,0.454837823850535,0.71375710848869
"cluster-2_support-yes1",2,0.658587748511483,0.788085906047989,0.697232059664841,0.301219941928185,0.415708426726599,0.43204297518842,0.454837823850535,0,0.754870373816228
"cluster-3_support-yes1",2,0.347085122664416,0.249876557188799,0.385982874269086,0.69946472109958,0.426283683306514,0.606530566473194,0.71375710848869,0.754870373816228,0
"cluster-0_support-no2",3,0,0.551503026842021,0.691417746112214,0.379008118623447,0.387987422054847,0.458731268512133,0.400566762479656,1.11740978049054,0.214887790449363
"cluster-1_support-no2",3,0.551503026842021,0,0.711404582951641,0.403607369346903,0.383281441750233,0.538079984640157,0.364014330388444,1.13511390078203,0.572915147275807
"cluster-2_support-no2",3,0.691417746112214,0.711404582951641,0,0.843305807049049,0.488584927988292,0.440866471359012,0.821539663831,0.59821995303566,0.743469924649775
"cluster-3_support-no2",3,0.379008118623447,0.403607369346903,0.843305807049049,0,0.436345394333306,0.610019700979875,0.168753060917648,1.23458213566907,0.384637253722488
"cluster-0_support-neutral2",3,0.387987422054847,0.383281441750233,0.488584927988292,0.436345394333306,0,0.289239279474286,0.394189290465661,0.901702767825478,0.405072009909707
"cluster-0_support-yes2",3,0.458731268512133,0.538079984640157,0.440866471359012,0.610019700979875,0.289239279474286,0,0.55861778528823,0.883617463774163,0.447373759498925
"cluster-1_support-yes2",3,0.400566762479656,0.364014330388444,0.821539663831,0.168753060917648,0.394189290465661,0.55861778528823,0,1.20602467192561,0.360288367311093
"cluster-2_support-yes2",3,1.11740978049054,1.13511390078203,0.59821995303566,1.23458213566907,0.901702767825478,0.883617463774163,1.20602467192561,0,1.14210814652958
"cluster-3_support-yes2",3,0.214887790449363,0.572915147275807,0.743469924649775,0.384637253722488,0.405072009909707,0.447373759498925,0.360288367311093,1.14210814652958,0
"cluster-0_support-no3",4,0,0.533879935704904,0.633309108831417,0.390046511167568,0.44969527182192,0.401896001311567,0.551550791027025,0.714177059634841,0.640977098859249
"cluster-1_support-no3",4,0.533879935704904,0,0.553525908898794,0.467608565389623,0.32494769540993,0.521864210630954,0.299903907900544,0.524905544781808,0.640682018944682
"cluster-2_support-no3",4,0.633309108831417,0.553525908898794,0,0.740340634710412,0.473360413395418,0.751225060647199,0.723083732589883,0.271624942404316,0.360570595632008
"cluster-3_support-no3",4,0.390046511167568,0.467608565389623,0.740340634710412,0,0.400974972659725,0.140963100008499,0.332538524892277,0.786964965749808,0.742533169635557
"cluster-0_support-neutral3",4,0.44969527182192,0.32494769540993,0.473360413395418,0.400974972659725,0,0.432908757267901,0.379293410179512,0.463572672392012,0.590130654004931
"cluster-0_support-yes3",4,0.401896001311567,0.521864210630954,0.751225060647199,0.140963100008499,0.432908757267901,0,0.372813124864878,0.808665994169253,0.711824446635662
"cluster-1_support-yes3",4,0.551550791027025,0.299903907900544,0.723083732589883,0.332538524892277,0.379293410179512,0.372813124864878,0,0.70413499099986,0.768374906294878
"cluster-2_support-yes3",4,0.714177059634841,0.524905544781808,0.271624942404316,0.786964965749808,0.463572672392012,0.808665994169253,0.70413499099986,0,0.531073120334981
"cluster-3_support-yes3",4,0.640977098859249,0.640682018944682,0.360570595632008,0.742533169635557,0.590130654004931,0.711824446635662,0.768374906294878,0.531073120334981,0
"cluster-0_support-no4",5,0,0.397551221752249,0.599971303736009,0.550963269309549,0.468927890319442,0.600392118865407,0.499972306502025,0.315117269382441,0.663824803604785
"cluster-1_support-no4",5,0.397551221752249,0,0.518479908113303,0.607699465224098,0.386420835662855,0.544498587424762,0.686578537356106,0.302921831746562,0.625422539380995
"cluster-2_support-no4",5,0.599971303736009,0.518479908113303,0,0.575087191380036,0.266272152445979,0.55618508372333,0.657727917175867,0.469184141715742,0.262381749262026
"cluster-3_support-no4",5,0.550963269309549,0.607699465224098,0.575087191380036,0,0.422657548008433,0.237100543169989,0.305002777479859,0.520716556864371,0.60289184330283
"cluster-0_support-neutral4",5,0.468927890319442,0.386420835662855,0.266272152445979,0.422657548008433,0,0.399772283556291,0.528731065344759,0.347000108185062,0.361920672318562
"cluster-0_support-yes4",5,0.600392118865407,0.544498587424762,0.55618508372333,0.237100543169989,0.399772283556291,0,0.411962242907636,0.557339452000048,0.602047353757822
"cluster-1_support-yes4",5,0.499972306502025,0.686578537356106,0.657727917175867,0.305002777479859,0.528731065344759,0.411962242907636,0,0.585173059377777,0.647032226792537
"cluster-2_support-yes4",5,0.315117269382441,0.302921831746562,0.469184141715742,0.520716556864371,0.347000108185062,0.557339452000048,0.585173059377777,0,0.531770590367407
"cluster-3_support-yes4",5,0.663824803604785,0.625422539380995,0.262381749262026,0.60289184330283,0.361920672318562,0.602047353757822,0.647032226792537,0.531770590367407,0
"cluster-0_support-no5",6,0,0.494767998736916,0.492871413995601,0.675888572724529,0.442122503037984,0.772279367778908,0.375454284876005,0.539045202492761,0.368161728889612
"cluster-1_support-no5",6,0.494767998736916,0,0.491132350920575,0.6258798708442,0.500578007409708,0.787172075649302,0.257746846983649,0.715959668464116,0.558045690285413
"cluster-2_support-no5",6,0.492871413995601,0.491132350920575,0,0.62786641805665,0.32394146463123,0.702328970124606,0.343366384158093,0.619994888225911,0.351466622534563
"cluster-3_support-no5",6,0.675888572724529,0.6258798708442,0.62786641805665,0,0.49101668565217,0.303324784130064,0.625305350945758,0.499497729658849,0.713050488635378
"cluster-0_support-neutral5",6,0.442122503037984,0.500578007409708,0.32394146463123,0.49101668565217,0,0.546881307973031,0.380602656384369,0.454518571502975,0.37881969252725
"cluster-0_support-yes5",6,0.772279367778908,0.787172075649302,0.702328970124606,0.303324784130064,0.546881307973031,0,0.73885320020456,0.570454310173989,0.785326194725872
"cluster-1_support-yes5",6,0.375454284876005,0.257746846983649,0.343366384158093,0.625305350945758,0.380602656384369,0.73885320020456,0,0.61188092511896,0.414392617159368
"cluster-2_support-yes5",6,0.539045202492761,0.715959668464116,0.619994888225911,0.499497729658849,0.454518571502975,0.570454310173989,0.61188092511896,0,0.553319923866616
"cluster-3_support-yes5",6,0.368161728889612,0.558045690285413,0.351466622534563,0.713050488635378,0.37881969252725,0.785326194725872,0.414392617159368,0.553319923866616,0
"cluster-0_support-no6",7,0,0.588012997329067,0.548094853922586,0.693033722796949,0.478919672580345,0.655259292666076,0.483068571631918,0.57849367186406,0.204361536694483
"cluster-1_support-no6",7,0.588012997329067,0,0.532579747472916,0.528619266262158,0.293000906430303,0.379702947771074,0.339952617378578,0.576635060720967,0.615475833922065
"cluster-2_support-no6",7,0.548094853922586,0.532579747472916,0,0.655182069806572,0.419344483653851,0.624134365259938,0.362840739413305,0.193744637104538,0.479126513319101
"cluster-3_support-no6",7,0.693033722796949,0.528619266262158,0.655182069806572,0,0.472062822303857,0.293090869717612,0.637783106097798,0.675296175933217,0.743861677197355
"cluster-0_support-neutral6",7,0.478919672580345,0.293000906430303,0.419344483653851,0.472062822303857,0,0.346497609966223,0.326410788400909,0.427970231006922,0.488557944368858
"cluster-0_support-yes6",7,0.655259292666076,0.379702947771074,0.624134365259938,0.293090869717612,0.346497609966223,0,0.545015962995141,0.629886352704139,0.687008538433351
"cluster-1_support-yes6",7,0.483068571631918,0.339952617378578,0.362840739413305,0.637783106097798,0.32641078840091,0.545015962995141,0,0.396484611060545,0.506098528769648
"cluster-2_support-yes6",7,0.57849367186406,0.576635060720967,0.193744637104538,0.675296175933217,0.427970231006922,0.629886352704139,0.396484611060545,0,0.52228879778513
"cluster-3_support-yes6",7,0.204361536694483,0.615475833922065,0.479126513319101,0.743861677197355,0.488557944368858,0.687008538433351,0.506098528769648,0.52228879778513,0
"cluster-0_support-no7",8,0,0.470910301607506,0.546918906036816,0.540126879736613,0.286677821883206,0.299786607445015,0.448636563138376,0.850468337669974,0.545178916240416
"cluster-1_support-no7",8,0.470910301607506,0,0.403587431779452,0.474241378769656,0.436844845248112,0.610225159265049,0.214769924973195,1.12821962788372,0.484807835261265
"cluster-2_support-no7",8,0.546918906036816,0.403587431779452,0,0.418939008944105,0.418698396635849,0.645451835901261,0.303198193983735,1.18662230113008,0.340333116126009
"cluster-3_support-no7",8,0.540126879736613,0.474241378769656,0.418939008944105,0,0.402646408920413,0.595537687798901,0.458566181237315,1.16057503005978,0.160437604186783
"cluster-0_support-neutral7",8,0.286677821883206,0.436844845248112,0.418698396635849,0.402646408920413,0,0.31454261111354,0.367096161936937,0.888428749634169,0.385436158937483
"cluster-0_support-yes7",8,0.299786607445015,0.610225159265049,0.645451835901261,0.595537687798901,0.31454261111354,0,0.549607920323431,0.830514615622553,0.579931740444911
"cluster-1_support-yes7",8,0.448636563138376,0.214769924973195,0.303198193983735,0.458566181237315,0.367096161936937,0.549607920323431,0,1.11084338120008,0.421031822920134
"cluster-2_support-yes7",8,0.850468337669974,1.12821962788372,1.18662230113008,1.16057503005978,0.888428749634169,0.830514615622553,1.11084338120008,0,1.16386311450119
"cluster-3_support-yes7",8,0.545178916240416,0.484807835261265,0.340333116126009,0.160437604186783,0.385436158937483,0.579931740444911,0.421031822920134,1.16386311450119,0
