"","qID","cluster.0_support.no","cluster.1_support.no","cluster.2_support.no","cluster.0_support.neutral","cluster.0_support.yes","cluster.1_support.yes","cluster.2_support.yes"
"cluster-0_support-no",1,0,0.764015927584312,0.673863034319316,0.460395348783749,0.491174548380128,0.749771109113828,0.601764313417889
"cluster-1_support-no",1,0.764015927584312,0,0.403991292276621,0.391927148860046,0.53659944593314,0.275637328498966,1.18391418995406
"cluster-2_support-no",1,0.673863034319316,0.403991292276621,0,0.378705548213936,0.379370983787712,0.254177767598592,1.10745576925679
"cluster-0_support-neutral",1,0.460395348783749,0.391927148860046,0.378705548213936,0,0.287667395295239,0.370812370071946,0.885055661544896
"cluster-0_support-yes",1,0.491174548380128,0.53659944593314,0.379370983787712,0.287667395295239,0,0.418608690008234,0.925491374757939
"cluster-1_support-yes",1,0.749771109113828,0.275637328498966,0.254177767598592,0.370812370071946,0.418608690008234,0,1.15756877091108
"cluster-2_support-yes",1,0.601764313417889,1.18391418995406,1.10745576925679,0.885055661544896,0.925491374757939,1.15756877091108,0
"cluster-0_support-no1",2,0,0.580505052753016,0.650963943763596,0.41001679716178,0.695578919750406,0.62763077478318,0.201889265218346
"cluster-1_support-no1",2,0.580505052753016,0,0.38231063536124,0.437487569358343,0.38904913126323,0.527149609417792,0.627436642334148
"cluster-2_support-no1",2,0.650963943763596,0.38231063536124,0,0.367248299562722,0.160312995594335,0.29160894224786,0.707174631586092
"cluster-0_support-neutral1",2,0.41001679716178,0.437487569358343,0.367248299562722,0,0.432016885778728,0.366414657803778,0.484996617793588
"cluster-0_support-yes1",2,0.695578919750406,0.38904913126323,0.160312995594335,0.432016885778728,0,0.382157639553349,0.719424324219932
"cluster-1_support-yes1",2,0.62763077478318,0.527149609417792,0.29160894224786,0.366414657803778,0.382157639553349,0,0.696724103765689
"cluster-2_support-yes1",2,0.201889265218346,0.627436642334148,0.707174631586092,0.484996617793588,0.719424324219932,0.696724103765689,0
